Datetime,Load_MW,Wind_MW,PV_MW,ES_MW_Optimized,Gas_MW_Optimized,ES_SOC_Optimized
2023/1/1 0:00,114.1726388,63.21919442,0,24.62598252,26.32746186,35.37401748
2023/1/1 1:00,123.0830802,68.07240012,0,28.45736652,26.55331356,6.916650966
2023/1/1 2:00,112.9882445,73.18726354,0,-13.09450986,52.89549082,20.01116083
2023/1/1 3:00,99.67602804,79.43540916,0,-6.254787043,26.49540592,26.26594787
2023/1/1 4:00,78.92070223,80,0,-12.60250795,11.52321018,38.86845583
2023/1/1 5:00,58.31726628,70.23230737,0,-5.371678801,0,44.24013463
2023/1/1 6:00,42.89748021,72.9208994,3.839934074,27.47940478,0,16.76072984
2023/1/1 7:00,34.91488989,48.60443098,12.90694305,2.135495768,0,14.62523408
2023/1/1 8:00,41.43588478,50.2072484,30.70808704,-47.6304827,8.151032038,62.25571677
2023/1/1 9:00,56.18313349,46.96024598,36.92752194,-16.67277669,0,78.92849347
2023/1/1 10:00,78.75490906,51.17272695,46.11003977,-27.12561781,8.597760148,106.0541113
2023/1/1 11:00,99.44262827,41.51942085,52.59983981,32.95606641,0,73.09804487
2023/1/1 12:00,114.4335716,63.46927409,45.23231515,7.155243264,0,65.94280161
2023/1/1 13:00,120.8608561,63.71731032,41.23704477,4.662838162,11.24366285,61.27996345
2023/1/1 14:00,117.7924248,80,26.69940589,13.49633172,0,47.78363173
2023/1/1 15:00,98.67005351,71.68609761,13.70232893,4.24643891,9.03518806,43.53719282
2023/1/1 16:00,78.16903282,69.58396089,3.632835865,-0.431219854,5.383455919,43.96841267
2023/1/1 17:00,56.5758752,62.98774667,7.86E-31,-10.45337202,4.041500545,54.42178469
2023/1/1 18:00,41.32881198,55.79192544,0,-11.98330423,0,66.40508892
2023/1/1 19:00,36.1336396,57.15405961,0,-39.66366089,18.64324088,106.0687498
2023/1/1 20:00,41.35847041,46.20053352,0,3.732067712,0,102.3366821
2023/1/1 21:00,56.37871634,38.31262169,0,7.450215432,10.61587922,94.88646667
2023/1/1 22:00,77.74301532,42.1759673,0,21.62840012,13.9386479,73.25806655
2023/1/1 23:00,102.3566221,44.88001458,0,9.731912753,47.74469477,63.5261538
2023/1/2 0:00,114.3027642,61.2694005,0,50,3.0333637,10
2023/1/2 1:00,119.2347678,80,0,-0.104321649,39.33908945,10.10432165
2023/1/2 2:00,111.4762355,80,0,-15.32149846,46.79773396,25.42582011
2023/1/2 3:00,98.35521037,80,0,4.635067212,13.72014316,20.7907529
2023/1/2 4:00,81.04079895,80,0,-8.367202155,9.408001105,29.15795505
2023/1/2 5:00,57.21855819,70.86667817,0,-33.14140109,19.49328111,62.29935614
2023/1/2 6:00,42.78360714,65.57249458,3.831296088,50,0,12.29935614
2023/1/2 7:00,36.20927991,55.59850543,12.31342567,-26.52100258,0,38.82035873
2023/1/2 8:00,42.51313211,38.09629886,26.91507076,17.56802274,0,21.25233599
2023/1/2 9:00,55.74356754,40.43427293,37.03955039,-50,28.26974422,71.25233599
2023/1/2 10:00,74.19345138,46.37898165,48.25228898,-1.765510194,0,73.01784618
2023/1/2 11:00,98.64691086,43.92926403,54.80332452,-11.41056831,11.32489062,84.42841449
2023/1/2 12:00,113.1078493,68.29859965,49.22060591,9.234025225,0,75.19438927
2023/1/2 13:00,118.2748696,68.79897444,38.05904324,-7.16553352,18.58238544,82.35992279
2023/1/2 14:00,109.0358777,79.71903932,22.5092965,33.87072432,0,48.48919847
2023/1/2 15:00,105.6908434,80,13.45551762,24.29447998,0,24.19471849
2023/1/2 16:00,76.04795131,78.50451197,4.101232187,11.92538382,0,12.26933467
2023/1/2 17:00,56.54175921,76.02482457,7.81E-31,-28.40056142,8.91749606,40.66989609
2023/1/2 18:00,41.46788457,51.86886425,0,4.937970603,0,35.73192549
2023/1/2 19:00,36.15704221,52.30243216,0,-32.89775991,16.75236996,68.6296854
2023/1/2 20:00,41.89948995,35.00332353,0,-24.09316027,30.98932669,92.72284567
2023/1/2 21:00,55.78452544,40.19538536,0,-0.220574461,15.80971454,92.94342013
2023/1/2 22:00,75.22445323,46.72811398,0,-10.60927444,39.10561369,103.5526946
